experiment,condition,n,accuracy,clean_accuracy,asr,asr_n,asr_denominator,asr_ci_low,asr_ci_high,targeted_asr,targeted_n,targeted_ci_low,targeted_ci_high,mean_severity_drop,median_severity_drop,one_level_drop_rate,two_level_drop_rate,severe_undertriage,undertriage_ci_low,undertriage_ci_high,critical_undertriage,critical_ci_low,critical_ci_high,induced_undertriage,induced_undertriage_n,induced_denominator,induced_ci_low,induced_ci_high
main,benign_image,900,0.5044444444444445,0.51,0.058823529411764705,27.0,459.0,0.04073872140455195,0.08423162798478841,0.010893246187363835,5.0,0.00466167028550022,0.025243729407867226,-0.011111111111111112,0.0,0.03,0.0011111111111111111,0.12,0.0879508443036389,0.16165781382701605,0.03666666666666667,0.02059530516285303,0.06445384817189295,0.007692307692307693,2.0,260.0,0.0021120491738382853,0.027608294458824678
main,benign_joint,900,0.5033333333333333,0.51,0.06535947712418301,30.0,459.0,0.046162841055399306,0.09177091056521011,0.015250544662309368,7.0,0.007406572011246677,0.031141095836300127,-0.008888888888888889,0.0,0.03666666666666667,0.0011111111111111111,0.11666666666666667,0.08509313461466292,0.15793314332415567,0.03666666666666667,0.02059530516285303,0.06445384817189295,0.011538461538461539,3.0,260.0,0.00393173246263534,0.03336892098539745
main,benign_text,900,0.5122222222222222,0.51,0.023965141612200435,11.0,459.0,0.013433439692482927,0.042398764463422584,0.008714596949891068,4.0,0.003394006501022605,0.022190259115255163,0.02,0.0,0.025555555555555557,0.0022222222222222222,0.13333333333333333,0.09946641683411198,0.1764717620638884,0.03333333333333333,0.01820494733885481,0.06026182580405482,0.007692307692307693,2.0,260.0,0.0021120491738382853,0.027608294458824678
main,clean,900,0.51,,,,,,,,,,,,,,,,,,,,,,,,,
main,direct_image,900,0.5111111111111111,0.51,0.32461873638344224,149.0,459.0,0.2833922354006519,0.36875647139362916,0.2875816993464052,132.0,0.2480707022476679,0.3306187252360886,0.5755555555555556,0.0,0.4088888888888889,0.19777777777777777,0.36333333333333334,0.3109540370105783,0.4191683751241309,0.35,0.29823200252235404,0.4055608888450096,0.2846153846153846,74.0,260.0,0.233213890562833,0.3422887597764569
main,direct_joint,900,0.5011111111111111,0.51,0.30501089324618735,140.0,459.0,0.2646531918968753,0.3486053082035986,0.23529411764705882,108.0,0.19878446905084082,0.2761977405827634,0.4222222222222222,0.0,0.3422222222222222,0.15222222222222223,0.3,0.2509396637848768,0.35411752470494157,0.28,0.23221902212795326,0.33334388521084696,0.2153846153846154,56.0,260.0,0.1697522443913564,0.26930482927127686
main,direct_text,900,0.5166666666666667,0.51,0.13507625272331156,62.0,459.0,0.10681866172541854,0.16939138036206058,0.07407407407407407,34.0,0.053489626352721586,0.10172866157624652,0.10777777777777778,0.0,0.14,0.035555555555555556,0.15666666666666668,0.11990681678878562,0.2021080234520693,0.08,0.054346855395144764,0.11627324043347391,0.05384615384615385,14.0,260.0,0.03234262052918687,0.08834144088791393
main,misleading_image,900,0.5411111111111111,0.51,0.23529411764705882,108.0,459.0,0.19878446905084082,0.2761977405827634,0.1437908496732026,66.0,0.1146449208966342,0.17884965749920356,0.41444444444444445,0.0,0.34555555555555556,0.07666666666666666,0.3466666666666667,0.2950585411049252,0.40215197007060216,0.18666666666666668,0.1466374821326313,0.23461877983475085,0.25,65.0,260.0,0.20126438949446024,0.3060154725065014
main,misleading_joint,900,0.53,0.51,0.26143790849673204,120.0,459.0,0.22333674659408637,0.3034990719645941,0.15904139433551198,73.0,0.128433645974544,0.19530887096092153,0.43444444444444447,0.0,0.3622222222222222,0.0811111111111111,0.37333333333333335,0.32052468559554903,0.42934486711466924,0.18666666666666668,0.1466374821326313,0.23461877983475085,0.28076923076923077,73.0,260.0,0.2296440631236289,0.3382782774002913
main,misleading_text,900,0.5511111111111111,0.51,0.13725490196078433,63.0,459.0,0.10877138344725487,0.17175979271731392,0.0784313725490196,36.0,0.05718869602770776,0.10667186005543969,0.2633333333333333,0.0,0.2388888888888889,0.03,0.24333333333333335,0.19822154125071836,0.2949351839778819,0.10333333333333333,0.07375658473854114,0.142940172432932,0.13846153846153847,36.0,260.0,0.10171904321035474,0.1857318341448821
